bloque	formato	escenario	ed_14_20	ed_21_28	ed_29_40	ed_41_50	ed_50	soltero	casado	unionlib	sex_fem	sex_mas	trab_desem	trab_formal	trab_inform	est_ninguno	est_primaria	est_secun	est_tecnico	est_uni	viajeoblig	frecuencia	evas_torniquete	evas_puertas	conoce_multa	conoce_valor	reincide_no_comparendo	colarse_10	colarse_10_50	colarse_50	posibilad_percibida	satis_costo	satis_comodidad	satis_seguridad	satis_general	fin_justifica	importa_ganar	no_reglas	ingreso	perfil	perfil_1	perfil_2	perfil_3	perfil_4	perfil_5	perfil_6	multa	retencion	policia_perros	camara	aleatoria	prob	evade	i1	i2	i3	i4	ingresoprom	gasto	gasto_ingreso	colarse_10mas
1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	427	0	1	0	0	0.5	0	1	0	0	0	828	14.4	0.069565216	1
1	1	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	214	2	0	1	0	0.1	0	1	0	0	0	828	14.4	0.069565216	1
1	1	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	427	2	0	0	1	0.2	0	1	0	0	0	828	14.4	0.069565216	1
1	1	4	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	427	0	1	0	0	0.5	0	1	0	0	0	828	14.4	0.069565216	1
1	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	214	2	0	0	1	0.5	0	1	0	0	0	828	14.4	0.069565216	1
1	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	854	2	0	0	1	0.5	1	1	0	0	0	828	14.4	0.069565216	1
1	1	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	854	2	1	0	0	0.2	0	1	0	0	0	828	14.4	0.069565216	1
1	1	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	854	6	0	0	1	0.5	0	1	0	0	0	828	14.4	0.069565216	1
1	1	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	2.4	2	1	0	0	0.1	1	1	0	0	0	828	14.4	0.069565216	1
1	1	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	2.4	6	1	0	0	0.2	1	1	0	0	0	828	14.4	0.069565216	1
1	1	11	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	2.4	0	0	0	1	0.1	1	1	0	0	0	828	14.4	0.069565216	1
1	1	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	6	1	0	1	0	1	0	1	0	0.05	1	1	1	1	5	3	3	1	2	0	1	0	0	0	0	214	0	0	0	1	0.1	1	1	0	0	0	828	14.4	0.069565216	1
2	2	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	14	1	0	1	0	1	0	1	0	0.1	1	1	1	3	2	3	1	4	2	0	1	0	0	0	0	2.4	2	0	1	0	0.1	1	0	0	0	1	2250	33.6	0.059733332	1
